,meanFitSL,meanFitIL,meanILprop,PayWorld,PayUsed,PayEff,SimpsonIndex,GiniIndex,nInd,nPat,stratProp,payoffDis,comp,k,theta,payoffChangeRate,variance,seed,compStrength,mode,calcTime
31,5.1144201,5.350563667,0.9562720366,830,185.3829835,0.2233529921,0.3610877233,0.7836508195,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2319,1,,35_mins
32,5.131123987,5.316404307,0.822119637,830,183.6495302,0.2212644942,0.3593731616,0.7870885279,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2327,1,,35_mins
33,5.094138862,5.371892577,0.8835738432,830,185.0294342,0.2229270292,0.3609543905,0.7844752967,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2336,1,,35_mins
34,5.116189193,5.357873613,0.8567482098,830,184.2668033,0.2220081967,0.3597182117,0.7861009385,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2348,1,,35_mins
35,5.103408046,5.384713947,0.9621000085,830,186.2698987,0.2244215647,0.362263649,0.7827059468,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2354,1,,35_mins
36,5.029991648,5.348134702,0.8157343123,830,183.0599127,0.2205541117,0.3587426811,0.7877407625,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2366,1,,35_mins
37,4.704393714,5.327518857,0.6260041438,830,173.4087152,0.2089261629,0.3454460592,0.8037187686,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2377,1,,35_mins
38,5.096376911,5.360772169,0.911174924,830,184.6810842,0.2225073304,0.3605109243,0.7851555863,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2383,1,,35_mins
39,4.639319235,5.302531291,0.6944131438,830,174.0381014,0.2096844595,0.3456348946,0.801909326,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2399,1,,35_mins
40,5.168161531,5.344209807,0.8731658852,830,184.0784686,0.2217812875,0.3596658762,0.7860602386,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2403,1,,35_mins
41,5.170181514,5.345250491,0.9215344165,830,184.9911036,0.2228808477,0.3608567662,0.7842964497,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2412,1,,35_mins
42,5.114503441,5.33432978,0.8631941163,830,184.2316807,0.2219658803,0.3597663509,0.7860662887,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2423,1,,35_mins
43,5.069445355,5.353876071,0.8198781094,830,184.4197388,0.2221924564,0.3601965946,0.785988498,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2433,1,,35_mins
